old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at,new_tipo,GBytes_in,GBytes_out,GBytes_total,last_use,days_since_use,use_cat,provedor
PASI000136,PASI000136,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BAIÃO,-3.01419997215271,-49.74860000610352,PA,FTB-006362,2019-06-12,2024-06-12,UBS,,,,2024-10-28,3,Online,Hughesnet
PASI000137,PASI000137,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC613B2D,BAIÃO,-2.739000082015991,-49.67100143432617,PA,FTB-003031,2019-04-20,2024-04-20,UBS,0.0,0.0,0.0,2024-10-24,7,Offline,SES
PASI000494,PASI000494,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC613B02,BAIÃO,-2.8931000232696533,-49.54219818115234,PA,FTB-005822,2019-06-05,2024-06-05,UBS,,,,2024-10-28,3,Online,Hughesnet
PASI000495,PASI000495,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC3A57AC,BAIÃO,-2.8136000633239746,-49.53419876098633,PA,FTB-005934,2019-06-06,2024-06-06,UBS,0.0,0.0,0.0,2024-10-23,8,Offline,Viasat
PASI000050,PASI000050,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC32F6E2,SALINÓPOLIS,-0.6150000095367432,-47.36399841308594,PA,FTB-001765,2019-03-22,2024-03-22,UBS,0.0,0.0,0.0,2024-10-31,0,Online,Viasat
PASI000064,PASI000064,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC3E008F,BRAGANCA,-1.069100022315979,-46.74100112915039,PA,FTB-001924,2019-03-27,2024-03-27,UBS,0.0,0.0,0.0,2024-10-29,2,Online,Hughesnet
PASI000088,PASI000088,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,CURUCA,-0.7170000076293945,-47.76599884033203,PA,FTB-001483,2019-03-15,2024-03-15,UBS,,,,2024-10-27,4,Atenção,Viasat
PASI000103,PASI000103,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MUANA,-1.531000018119812,-49.22299957275391,PA,FTB-001484,2019-03-15,2024-03-15,UBS,,,,2024-10-31,0,Online,Viasat
PASI000938,PASF000263,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC79114C,,-9.334723472595217,-50.35000228881836,PA,FTB-006739,2019-06-18,2024-06-18,UBS,199.4538692058996,14.049374959431589,213.50324416533115,2024-10-27,4,Atenção,Hughesnet
PASI001157,PASI001157,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,SANTANA DO ARAGUAIA,-9.336400032043455,-50.33390045166016,PA,FTB-006683,2019-06-18,2024-06-18,UBS,,,,2024-10-20,11,Offline,Viasat
PASI000947,PASI000947,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,NOVO PROGRESSO,-7.289999961853027,-55.310001373291016,PA,FTB-007694,2019-07-09,2024-07-09,UBS,,,,2024-10-27,4,Atenção,SES
PASI000112,PASI000112,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BREVES,-1.687999963760376,-50.47700119018555,PA,FTB-003841,2019-05-09,2024-05-09,UBS,,,,2024-10-31,0,Online,Viasat
AMSI000487,AMSI000487,ubs,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC33DEE3,BORBA,-4.047800064086914,-59.371700286865234,AM,FTB-007478,2019-07-04,2024-07-04,UBS,1.9483738588169217,0.2037140587344765,2.1520879175513983,2024-10-29,2,Online,Hughesnet
PASI000683,PASI000683,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PACAJÁ,-3.839299917221069,-50.637298583984375,PA,FTB-007259,2019-06-30,2024-06-30,UBS,,,,2024-10-28,3,Online,Viasat
AMSI000151,AMSI000151,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.389999866485596,-59.59000015258789,AM,FTB-007303,2019-07-01,2024-07-01,UBS,,,,2024-10-23,8,Offline,Hughesnet
AMSI000152,AMSI000152,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.397799968719482,-59.598899841308594,AM,FTB-007403,2019-07-03,2024-07-03,UBS,,,,2024-10-27,4,Atenção,Viasat
AMSI000153,AMSI000153,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.388299942016602,-59.59560012817383,AM,FTB-007341,2019-07-02,2024-07-02,UBS,,,,2024-10-31,0,Online,Viasat
AMSI000154,AMSI000154,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.394400119781494,-59.58890151977539,AM,FTB-007431,2019-07-03,2024-07-03,UBS,,,,2024-10-25,6,Offline,Viasat
AMSI000155,AMSI000155,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.389999866485596,-59.59999847412109,AM,FTB-007345,2019-07-02,2024-07-02,UBS,,,,2024-10-31,0,Online,SES
AMSI000156,AMSI000156,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BORBA,-4.399199962615967,-59.598899841308594,AM,FTB-007344,2019-07-02,2024-07-02,UBS,,,,2024-10-26,5,Atenção,SES
MGSI000478,MGSI000478,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MUTUM,-20.13719940185547,-41.39440155029297,MG,FTB-005032,2019-05-28,2024-05-28,UBS,,,,2024-10-30,1,Online,Hughesnet
PASI000057,PASI000057,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MARACANÃ,-0.8309999704360962,-47.448001861572266,PA,FTB-002411,2019-04-05,2024-04-05,UBS,,,,2024-10-30,1,Online,SES
PASI000124,PASI000124,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ABAETETUBA,-1.8760000467300413,-48.87900161743164,PA,FTB-002682,2019-04-11,2024-04-11,UBS,,,,2024-10-31,0,Online,Viasat
PASI000611,PASI000611,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ABAETETUBA,-1.746999979019165,-48.74100112915039,PA,FTB-003539,2019-04-30,2024-04-30,UBS,,,,2024-10-30,1,Online,Viasat
PASI001024,PASF001749,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCAD8DC4,,-2.1616666316986084,-56.09000015258789,PA,FTB-009054,2019-08-10,2024-08-10,UBS,23.954667889513075,1.7171693611890078,25.671837250702083,2024-10-22,9,Offline,SES
PASI001151,PASF001546,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC97C85C,,-6.079999923706055,-49.90999984741211,PA,FTB-004008,2019-05-14,2024-05-14,UBS,6.68103585857898,0.4137128069996834,7.094748665578663,2024-10-31,0,Online,Viasat
AMSI000466,AMSI000466,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,TABATINGA,-4.21999979019165,-69.93000030517578,AM,FTB-003965,2019-05-12,2024-05-12,UBS,,,,2024-10-31,0,Online,Viasat
AMSI000467,AMSI000467,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,TABATINGA,-4.231400012969971,-69.92890167236328,AM,FTB-003957,2019-05-11,2024-05-11,UBS,,,,2024-10-31,0,Online,Hughesnet
AMSI000468,AMSI000468,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,TABATINGA,-4.236000061035156,-69.927001953125,AM,FTB-003949,2019-05-11,2024-05-11,UBS,,,,2024-10-21,10,Offline,Viasat
AMSI000469,AMSI000469,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,TABATINGA,-4.239999771118164,-69.94000244140625,AM,FTB-003950,2019-05-11,2024-05-11,UBS,,,,2024-10-18,13,Offline,Viasat
AMSI000491,AMSI000491,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,TABATINGA,-4.22599983215332,-69.94100189208984,AM,FTB-003967,2019-05-12,2024-05-12,UBS,,,,2024-10-27,4,Atenção,Viasat
PASI000445,PASI000445,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,JACAREACANGA,-6.223800182342529,-57.76079940795898,PA,FTB-008129,2019-07-18,2024-07-18,UBS,,,,2024-10-28,3,Online,SES
PASI000946,PASI000946,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ITAITUBA,-4.250800132751465,-55.99470138549805,PA,FTB-006234,2019-06-11,2024-06-11,UBS,,,,2024-10-27,4,Atenção,Hughesnet
AMSI000447,AMSI000447,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PARINTINS,-2.621400117874145,-56.72829818725586,AM,FTB-007092,2019-06-27,2024-06-27,UBS,,,,2024-10-29,2,Online,Hughesnet
AMSI000448,AMSI000448,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PARINTINS,-2.636399984359741,-56.7317008972168,AM,FTB-008557,2019-07-26,2024-07-26,UBS,,,,2024-10-31,0,Online,SES
AMSI000449,AMSF000758,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC6E0408,,-2.5477778911590576,-56.74583435058594,AM,FTB-007352,2019-07-02,2024-07-02,UBS,111.3629431547597,15.231704496778548,126.59464765153824,2024-10-25,6,Offline,Hughesnet
PASI001019,PASI001019,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MEDICILANDIA,-3.4653000831604004,-52.90140151977539,PA,FTB-007427,2019-07-03,2024-07-03,UBS,,,,2024-10-26,5,Atenção,SES
PASI001023,PASI001023,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MEDICILANDIA,-3.4293999671936035,-52.80690002441406,PA,FTB-007465,2019-07-04,2024-07-04,UBS,,,,2024-10-27,4,Atenção,Hughesnet
PASI001026,PASI001026,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BELTERRA,-2.663599967956543,-54.838600158691406,PA,FTB-006301,2019-06-12,2024-06-12,UBS,,,,2024-10-29,2,Online,Viasat
AMSI000497,AMSI000497,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PARINTINS,-2.642199993133545,-56.750301361083984,AM,FTB-008626,2019-07-27,2024-07-27,UBS,,,,2024-10-30,1,Online,Viasat
PASI001021,PASI001021,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,MEDICILANDIA,-3.5185999870300293,-53.14360046386719,PA,FTB-007495,2019-07-04,2024-07-04,UBS,,,,2024-10-29,2,Online,Hughesnet
RSSI000098,RSSI000098,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PASSO DO SOBRADO,-29.748699188232425,-52.274898529052734,RS,FTB-004645,2019-05-22,2024-05-22,UBS,,,,2024-10-31,0,Online,SES
TOSI000089,TOSF000082,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BCB86074,,-10.861499786376951,-48.91440963745117,TO,FTB-006476,2019-06-13,2024-06-13,UBS,,,,2024-10-25,6,Offline,Viasat
ROSI000137,ROSF000097,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC71F3C4,,-8.739444732666016,-63.8569450378418,RO,FTB-004773,2019-05-23,2024-05-23,UBS,147.2180121205747,11.135541496798396,158.3535536173731,2024-10-27,4,Atenção,Viasat
TOSI000105,TOSI000105,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,CAMPOS LINDOS,-7.968611240386963,-46.80527877807617,TO,FTB-007129,2019-06-27,2024-06-27,UBS,,,,2024-10-17,14,Offline,Viasat
PASI000941,PASI000941,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ANAPU,-3.471400022506714,-51.20439910888672,PA,FTB-006828,2019-06-19,2024-06-19,UBS,,,,2024-10-25,6,Offline,Viasat
TOSI000135,TOSI000135,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,CARRASCO BONITO,-5.32420015335083,-48.03390121459961,TO,FTB-007361,2019-07-02,2024-07-02,UBS,,,,2024-10-22,9,Offline,Viasat
ROSI000041,ROSF000102,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA1EF24,,-8.856389045715332,-63.94138717651367,RO,FTB-005955,2019-06-06,2024-06-06,UBS,93.2624741178006,7.707084934227169,100.96955905202776,2024-10-31,0,Online,SES
ROSI000042,ROSI000042,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PORTO VELHO,-8.762467384338379,-63.90448760986328,RO,FTB-005579,2019-06-03,2024-06-03,UBS,,,,2024-10-31,0,Online,Hughesnet
ROSI000040,ROSF000101,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC94AE10,,-8.738611221313477,-63.90777587890625,RO,FTB-006649,2019-06-17,2024-06-17,UBS,76.69807055592537,5.69344531185925,82.39151586778462,2024-10-23,8,Offline,Hughesnet
TOSI000110,TOSI000110,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ARAGUATINS,-5.882199764251709,-48.158599853515625,TO,FTB-007514,2019-07-04,2024-07-04,UBS,,,,2024-10-31,0,Online,SES
PASI000647,PASI000647,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC369215,ANAPU,-3.371900081634521,-51.3213996887207,PA,FTB-006589,2019-06-15,2024-06-15,UBS,0.0,0.0,0.0,2024-10-25,6,Offline,Viasat
PASI000648,PASI000648,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC48DE4A,ANAPU,-3.471699953079224,-51.20439910888672,PA,FTB-006827,2019-06-19,2024-06-19,UBS,0.0,0.0,0.0,2024-10-30,1,Online,Viasat
PASI000651,PASI000651,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC339CF7,ANAPU,-3.130000114440918,-51.59000015258789,PA,FTB-006884,2019-06-22,2024-06-22,UBS,0.0,0.0,0.0,2024-10-29,2,Online,Hughesnet
PASI000652,PASI000652,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ANAPU,-3.309200048446656,-51.41249847412109,PA,FTB-006904,2019-06-24,2024-06-24,UBS,,,,2024-10-27,4,Atenção,SES
PASI000679,PASF001084,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCBE51E0,PACAJÁ,-3.6852777004241934,-50.205833435058594,PA,FTB-005695,2019-06-04,2024-06-04,UBS,77.58624494727701,13.40948159713298,90.99572654441,2024-10-30,1,Online,Viasat
PASI000681,PASI000681,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PACAJÁ,-3.83489990234375,-50.637298583984375,PA,FTB-005543,2019-06-03,2024-06-03,UBS,,,,2024-10-29,2,Online,Viasat
AMSI000398,AMSI000398,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Maués,-3.380000114440918,-57.720001220703125,AM,FTB-008947,2019-08-07,2024-08-07,UBS,,,,2024-10-30,1,Online,Hughesnet
AMSI000470,AMSI000470,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Benjamin Constant,-4.375800132751465,-70.02780151367188,AM,FTB-009528,2019-09-04,2024-09-04,UBS,,,,2024-10-24,7,Offline,Hughesnet
AMSI000442,AMSI000442,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Maués,-3.3975000381469727,-57.71969985961914,AM,FTB-009777,2019-09-28,2024-09-28,UBS,,,,2024-10-24,7,Offline,Viasat
MSSI000040,MSSF000033,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC8F4314,,-20.25305557250977,-56.06694412231445,MS,FTB-007337,2019-07-02,2024-07-02,UBS,30.461528141982853,3.490228157490492,33.951756299473345,2024-10-30,1,Online,Viasat
APSI000010,APSI000010,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Oiapoque,3.725800037384033,-51.72529983520508,AP,FTB-009362,2019-08-24,2024-08-24,UBS,,,,2024-10-31,0,Online,Hughesnet
AMSI000056,AMSI000056,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Barreirinha,-2.7992000579833984,-57.06840133666992,AM,FTB-008442,2019-07-24,2024-07-24,UBS,,,,2024-10-28,3,Online,Hughesnet
ROSI000136,ROSI000136,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Rolim de Moura,-11.725698471069336,-61.77814102172852,RO,FTB-009844,2019-10-07,2024-10-07,UBS,,,,2024-10-22,9,Offline,Hughesnet
MTSI000004,MTSF000084,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC65C6D8,,-11.199130058288574,-53.23564147949219,MT,FTB-009667,2019-09-18,2024-09-18,UBS,65.7776978937909,4.869823378510773,70.64752127230167,2024-10-20,11,Offline,Viasat
AMSI000479,AMSI000479,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Coari,-4.099444389343262,-63.14638900756836,AM,FTB-007251,2019-06-29,2024-06-29,UBS,,,,2024-10-30,1,Online,Hughesnet
ACSI000104,ACSI000104,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Sena Madureira,-9.068599700927734,-68.67109680175781,AC,FTB-008058,2019-07-16,2024-07-16,UBS,,,,2024-10-31,0,Online,Hughesnet
ACSI000105,ACSI000105,ubs,Will Not Migrate,Reduced,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Santa Rosa do Purus,-9.436100006103516,-70.49299621582031,AC,FTB-011601,2020-04-08,2025-04-08,UBS,,,,2024-10-31,0,Online,Hughesnet
AMSI000493,AMSI000493,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Nova Olinda do Norte,-3.8877999782562256,-59.08940124511719,AM,FTB-009775,2019-09-28,2024-09-28,UBS,,,,2024-10-21,10,Offline,SES
ACSI000103,ACSI000103,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Sena Madureira,-9.06999969482422,-68.66000366210938,AC,FTB-008059,2019-07-16,2024-07-16,UBS,,,,2024-10-31,0,Online,Viasat
AMSI000553,AMSI000553,ubs,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3189D3,Envira,-7.435200214385986,-70.02680206298828,AM,FTB-011439,2020-02-07,2025-02-07,UBS,3.688037395477295e-07,0.0,3.688037395477295e-07,2024-10-22,9,Offline,Hughesnet
AMSI000554,AMSI000554,ubs,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC39B0E1,Carauari,-4.872499942779541,-66.89469909667969,AM,FTB-010040,2019-11-07,2024-11-07,UBS,197.94906531181184,18.87076097074896,216.81982628256085,2024-10-27,4,Atenção,Viasat
AMSI000390,AMSI000390,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Jutaí,-2.7518999576568604,-66.75890350341797,AM,FTB-008717,2019-07-30,2024-07-30,UBS,,,,2024-10-31,0,Online,Viasat
AMSI000441,AMSI000441,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Humaitá,-7.502500057220459,-63.028099060058594,AM,FTB-009466,2019-08-30,2024-08-30,UBS,,,,2024-10-26,5,Atenção,SES
TOSI000098,TOSI000098,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Riachinho,-6.438469886779785,-48.13740158081055,TO,FTB-007753,2019-07-10,2024-07-10,UBS,,,,2024-10-30,1,Online,Viasat
AMSI000500,AMSI000500,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Itacoatiara,-3.076900005340576,-58.53969955444336,AM,FTB-006930,2019-06-25,2024-06-25,UBS,,,,2024-10-29,2,Online,Hughesnet
ROSI000027,ROSF000095,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC94B7C0,,-8.751111030578613,-63.84611129760742,RO,FTB-006356,2019-06-12,2024-06-12,UBS,182.3339040670544,14.841837980784476,197.17574204783887,2024-10-24,7,Offline,SES
ROSI000139,ROSF000098,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC944C6C,,-8.76722240447998,-63.81833267211914,RO,FTB-006396,2019-06-13,2024-06-13,UBS,153.7307000644505,8.388066560029984,162.1187666244805,2024-10-23,8,Offline,SES
ROSI000141,ROSF000100,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA89548,,-8.735278129577637,-63.91249847412109,RO,FTB-006355,2019-06-12,2024-06-12,UBS,41.4284704439342,3.0163106517866254,44.44478109572083,2024-10-31,0,Online,SES
PASI001376,PASF000264,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC7A2A78,,-9.336623191833496,-50.34138488769531,PA,FTB-008093,2019-07-17,2024-07-17,UBS,160.169780312106,11.994737395085394,172.1645177071914,2024-10-31,0,Online,SES
TOSI000143,TOSF000053,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC51EB0C,,-12.651339530944824,-48.58942413330078,TO,FTB-006553,2019-06-14,2024-06-14,UBS,58.56057163886726,4.285714684985578,62.84628632385284,2024-10-29,2,Online,SES
AMSI000443,AMSI000443,ubs,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC453C0C,Carauari,-4.881100177764893,-66.8938980102539,AM,FTB-010008,2019-11-06,2024-11-06,UBS,7.507415113039315,0.7335082842037082,8.240923397243023,2024-10-28,3,Online,Viasat
TOSI000104,TOSF000035,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200 (SB2+),00A0BC941CA0,,-8.059480667114258,-48.47540283203125,TO,FTB-007603,2019-07-07,2024-07-07,UBS,13.6998444898054,0.920614181086421,14.62045867089182,2024-10-26,5,Atenção,Hughesnet
AMSI000471,AMSI000471,ubs,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC34F43A,Amaturá,-3.360599994659424,-68.1980972290039,AM,FTB-009691,2019-09-21,2024-09-21,UBS,,,,2024-10-18,13,Offline,SES
ROSI000039,ROSI000039,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Novo Horizonte do Oeste,-11.727499961853027,-62.14690017700195,RO,FTB-009448,2019-08-29,2024-08-29,UBS,,,,2024-10-21,10,Offline,Hughesnet
ROSI000028,ROSF000096,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCAE23E4,,-8.76119327545166,-63.90044021606445,RO,FTB-007360,2019-07-02,2024-07-02,UBS,41.32485907804221,5.5768500296399,46.90170910768211,2024-10-31,0,Online,Hughesnet
AMSI000474,AMSI000474,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,Coari,-4.087200164794922,-63.13639831542969,AM,FTB-008762,2019-07-31,2024-07-31,UBS,,,,2024-10-31,0,Online,SES
